#x position, y position, x correction 
1.00056216, -2.5502672e-06, 0.999626446043
-8.9492936, -2.128724e-05, -11.1004119454
-8.5513168, -2.651844e-05, -10.3373432854
-8.0880384, -2.3153104e-05, -9.52416115792
-7.5560576, -1.8618184e-05, -8.66776800224
-6.9534296, -1.840852e-05, -7.77549325878
-6.2800712, -3.1582616e-05, -6.85454791634
-5.5376152, -1.2759864e-05, -5.91093354972
-4.7301488, 4.3556656e-06, -4.95030336209
-3.8632568, 1.689376e-05, -3.97569651073
-2.945176, -6.8733288e-06, -2.98996884876
-1.9868472, -7.0642208e-06, -1.99704168409
-1.00057776, -4.2486392e-06, -0.999633410818
-9.648132e-06, -3.2168136e-06, -5.49493490553e-07
1.9868264, 0.0, 1.9970224704
2.9451552, 8.8025912e-07, 2.98994605683
3.8632464, -2.6158184e-05, 3.97567679802
4.7301384, -1.3828672e-05, 4.95029640504
5.5376048, 2.9903328e-06, 5.91098625857
6.2800608, 2.2785152e-05, 6.85464369609
6.9534296, 1.193088e-05, 7.77550263121
7.5560472, 1.060384e-05, 8.66771480709
8.088028, 1.4218152e-05, 9.52419930385
8.5513168, 1.6573752e-05, 10.3374012008
8.9492936, 1.260168e-05, 11.100386026
-8.9429496, 0.79166152, -11.1315368651
-8.9429496, -0.79166152, -11.1317194804
-8.5441304, 0.82058288, -10.3640914492
-8.5441304, -0.82058288, -10.3640222036
-8.0801968, 0.84835088, -9.54691411029
-8.0801968, -0.84835088, -9.54652456202
-7.5478104, 0.87474088, -8.68654288155
-7.5478104, -0.87474088, -8.68634229666
-6.9450576, 0.89936496, -7.79080734168
-6.9450576, -0.89936496, -7.79099779701
-6.2718448, 0.9217416, -6.86708024893
-6.2718448, -0.9217416, -6.86718692618
-5.5298464, 0.94199664, -5.92086624465
-5.5298464, -0.94199664, -5.92080412111
-4.7231184, 0.95955288, -4.95765811167
-4.7231184, -0.95955288, -4.95765678951
-3.8572456, 0.9741888, -3.98084962115
-3.8572456, -0.9741888, -3.98087138839
-2.9404232, 0.98558928, -2.99347687122
-2.9404232, -0.98558928, -2.99347085231
-1.9835608, 0.9938812, -1.99950124081
-1.9835608, -0.9938812, -1.99950722574
-0.99890024, 0.99888776, -1.00068711987
-0.99890024, -0.99888776, -1.00070098035
-3.909672e-06, 1.00056424, 6.1141406969e-06
-3.909672e-06, -1.00056424, 2.84418948782e-07
0.9988888, 0.99889296, 1.00069273954
0.9988888, -0.99889296, 1.00069299204
1.9835504, 0.99388536, 1.99950231021
1.9835504, -0.99388536, 1.99949909776
2.9404128, 0.9855976, 2.99346681449
2.9404128, -0.9855976, 2.99346195696
3.8572352, 0.97414824, 3.98084207895
3.8572352, -0.97414824, 3.98086158755
4.723108, 0.95953728, 4.95767037042
4.723108, -0.95953728, 4.95769215983
5.529836, 0.94201016, 5.92089413771
5.529836, -0.94201016, 5.92086931551
6.2718344, 0.92179256, 6.86720665936
6.2718344, -0.92179256, 6.8670968484
6.9450472, 0.89938992, 7.79101178726
6.9450472, -0.89938992, 7.79086492878
7.5478, 0.87477104, 8.68645333301
7.5478, -0.87477104, 8.68650513183
8.0801968, 0.84838728, 9.54659227234
8.0801968, -0.84838728, 9.54684074758
8.54412, 0.82062344, 10.3639551436
8.54412, -0.82062344, 10.3641254193
8.9429496, 0.79169688, 11.1316425317
8.9429496, -0.79169688, 11.1316365193
-8.923668, 1.5753504, -11.2289047748
-8.923668, -1.5753504, -11.2287014863
-8.522332, 1.6325712, -10.4457639198
-8.522332, -1.6325712, -10.4454110236
-8.0565056, 1.687452, -9.61449104118
-8.0565056, -1.687452, -9.61440727153
-7.5229544, 1.7395456, -8.74286289547
-7.5229544, -1.7395456, -8.74291718589
-6.919848, 1.7880928, -7.83710113422
-6.919848, -1.7880928, -7.83701204734
-6.2471552, 1.8321576, -6.90413420696
-6.2471552, -1.8321576, -6.90416457744
-5.5065296, 1.8719688, -5.94985646046
-5.5065296, -1.8719688, -5.94996056773
-4.7020584, 1.9064344, -4.97926677959
-4.7020584, -1.9064344, -4.97922622951
-3.8392536, 1.9351384, -3.99610545856
-3.8392536, -1.9351384, -3.99609394069
-2.9262376, 1.9575088, -3.0043571253
-2.9262376, -1.9575088, -3.00438521496
-1.9737536, 1.9737432, -2.00582121829
-1.9737536, -1.9737432, -2.00584099481
-0.99388848, 1.9835504, -1.00383052886
-0.99388848, -1.9835504, -1.0038449274
-3.7921208e-06, 1.9868264, 2.54414389378e-06
-3.7921208e-06, -1.9868264, 4.39993710688e-07
0.99388328, 1.9835504, 1.00384355006
0.99388328, -1.9835504, 1.00384069627
1.9737432, 1.9737536, 2.00583684401
1.9737432, -1.9737536, 2.00583132618
2.9262272, 1.9575192, 3.00435582123
2.9262272, -1.9575192, 3.00437591798
3.8392432, 1.9350968, 3.99612316273
3.8392432, -1.9350968, 3.99612868562
4.702048, 1.906424, 4.97931114913
4.702048, -1.906424, 4.97927301846
5.5065296, 1.8719792, 5.94992792914
5.5065296, -1.8719792, 5.94986364293
6.2471552, 1.8322096, 6.90419679724
6.2471552, -1.8322096, 6.90410698496
6.919848, 1.7881136, 7.83716448633
6.919848, -1.7881136, 7.83708371106
7.5229544, 1.7395768, 8.74297456246
7.5229544, -1.7395768, 8.74293567844
8.0565056, 1.6874936, 9.61437713454
8.0565056, -1.6874936, 9.6145242872
8.522332, 1.6326128, 10.4453669791
8.522332, -1.6326128, 10.4457151297
8.9236576, 1.5753816, 11.2286198646
8.9236576, -1.5753816, 11.2289125045
-8.8906584, 2.3433488, -11.3869401933
-8.8906584, -2.3433488, -11.3865594423
-8.4852872, 2.4276824, -10.5848771631
-8.4852872, -2.4276824, -10.5847571591
-8.0164864, 2.5083968, -9.73080043375
-8.0164864, -2.5083968, -9.73091350534
